/Users/deusjohn/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

=======================================================
  TOSCI DETAILED SCRAPER — SHAMBA SMART
  Website: https://tosci.go.tz/seed-varieties
=======================================================

  Reusing existing list: /Users/deusjohn/Documents/Shamba smart/scripts/output/tosci_list.csv
  Loaded 1174 varieties from cache

=======================================================
  PHASE 2 — Scraping variety detail pages
=======================================================
  [ 290/1174] GREEN ZUCCHINI                 Squash | — | yield:—
  [ 291/1174] GREY ZUCCHINI                  Cucumber | — | yield:—
  [ 292/1174] GS10                           Garden beans | — | yield:—
  [ 293/1174] H 1                            Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 294/1174] H 11                           Cashew | — | yield:10  kg/tree after 5 years (first harvest)
  [ 295/1174] H 13                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 296/1174] H 14                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 297/1174] H 15                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 298/1174] H 16                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 299/1174] H 18                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 300/1174] H 2                            Cashew | — | yield:10 kg/tree after 5 years (first harvest)
2026-05-24 20:31:49,787 [INFO]   Progress saved: 300 varieties → /Users/deusjohn/Documents/Shamba smart/scripts/output/progress/progress_300.json
  [ 301/1174] H 22                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 302/1174] H 23                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 303/1174] H 25                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 304/1174] H 28                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 305/1174] H 29                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 306/1174] H 3                            Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 307/1174] H 30                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 308/1174] H 31                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 309/1174] H 32                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 310/1174] H 33                           Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 311/1174] H 4                            Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 312/1174] H 5                            Cashew | — | yield:10 kg/tree after 5 years (first harvest)
